Country Code,year,gdp_per_capita,Income
GNB,2021,912.4841047,LIC
LBR,2021,667.9661051,LIC
MDG,2021,483.4694634,LIC
MLI,2021,1027.273454,LIC
MOZ,2021,509.9078295,LIC
MWI,2021,617.4475208,LIC
NER,2021,608.7224396,LIC
RWA,2021,829.5448456,LIC
SDN,2021,712.1220093,LIC
SLE,2021,886.1929391,LIC
SOM,2021,549.1147427,LIC
TCD,2021,946.3585002,LIC
TGO,2021,939.6133738,LIC
UGA,2021,882.7917174,LIC
AGO,2021,1925.874661,LMC
BEN,2021,1318.651581,LMC
BGD,2021,2482.849178,LMC
CIV,2021,2455.981276,LMC
CMR,2021,1672.326573,LMC
COG,2021,2516.162551,LMC
COM,2021,1587.729886,LMC
DJI,2021,3025.911264,LMC
EGY,2021,3827.354154,LMC
GHA,2021,2445.186625,LMC
GIN,2021,1244.965505,LMC
IND,2021,2239.613844,LMC
JOR,2021,4183.499983,LMC
KEN,2021,2061.356221,LMC
LKA,2021,3996.9624,LMC
LSO,2021,1066.586436,LMC
MAR,2021,3785.936279,LMC
MRT,2021,1947.789184,LMC
NAM,2021,4412.835569,LMC
NGA,2021,2017.274865,LMC
NPL,2021,1252.750767,LMC
PAK,2021,1455.319224,LMC
PSE,2021,3678.635657,LMC
SEN,2021,1598.10677,LMC
STP,2021,2362.588272,LMC
SWZ,2021,3966.298633,LMC
TUN,2021,3906.939263,LMC
TZA,2021,1159.856567,LMC
ZMB,2021,1127.160779,LMC
ZWE,2021,1724.387271,LMC
DZA,2021,4160.559267,MNA
IRN,2021,4334.792686,MNA
IRQ,2021,4868.494311,MNA
LBY,2021,4935.827873,MNA
MDV,2021,10176.14388,SAS
BWA,2021,7807.887945,SSA
CPV,2021,3971.444092,SSA
GAB,2021,8181.409141,SSA
GNQ,2021,6945.630698,SSA
MUS,2021,9068.973002,SSA
ZAF,2021,6843.399419,SSA
AUS,2022,64997.01365,EAP
BRN,2022,36632.92804,EAP
CHN,2022,12970.60564,EAP
